+05034, +00967, +14437, -00144, +04619, +00361
+04624, +00394, +14665, -00539, +01615, +08497
+04230, -00029, +14797, -01578, +03044, +10013
+03948, -00404, +14803, -00901, -02009, +05614
+03702, -00701, +14896, +00044, -02284, +04548
+03531, -00786, +14891, +01301, -02243, +02986
+03287, -00674, +14971, +02557, -02174, +01730
+02936, -00297, +15157, +03314, -02338, +00809
+02417, -00211, +15178, +03540, -02204, +00072
+02131, -00274, +15051, +03324, -01965, -00095
+02584, -01181, +32760, +02830, -01755, -00273
+00540, -01175, +22422, +02445, -01599, -00695
-00417, -01257, +22549, +02582, -01403, -00889
-01441, -01426, +22691, +02986, -01103, -00940
-02180, -00846, +22195, +03497, -01004, -01397
-01943, -00955, +21645, +04089, -01372, -01961
-01617, -01292, +21178, +04648, -01890, -02169
-01421, -00841, +20297, +04961, -02394, -02254
-00701, -00942, +19498, +04923, -02829, -02300
+00088, -01305, +19002, +04741, -02831, -02110
+00584, -01173, +18580, +04553, -02501, -01852
+01063, -01309, +18395, +04256, -02216, -01718
+01299, -01800, +18058, +04022, -01765, -01627
+01203, -01836, +17669, +03951, -01158, -01889
+01294, -01518, +17012, +03927, -01050, -02382
+01731, -01676, +16473, +04151, -01275, -02315
+01821, -01225, +16026, +04554, -01677, -01650
+01585, -00605, +15538, +04971, -02184, -00788
+01601, -00301, +15265, +05171, -02219, -00185
+01368, +00055, +15141, +05117, -01931, -00018
+00878, +00663, +14805, +04921, -01346, -00326
+00410, +00777, +14691, +04639, -00706, -00760
+00068, +00795, +14514, +04367, -00238, -01322
-00243, +01287, +14087, +04117, +00020, -01956
-00499, +01892, +13462, +03830, -00131, -02423
-00804, +02263, +13297, +03534, -00174, -02773
-01212, +02449, +13351, +02968, +00046, -03262
-01925, +02202, +13496, +02071, +00292, -03953
-02906, +01786, +13593, +01239, +00556, -04598
-04232, +01840, +13405, +00658, +00589, -05269
-05258, +01628, +13032, +00400, +00370, -05952
-06038, +01498, +12551, +00445, +00033, -06657
-06587, +01467, +11915, +00609, -00568, -07221
-06617, +01243, +11627, +00610, -01389, -07868
-06547, +01017, +11483, +00518, -02252, -08372
-06529, +00741, +11405, +00262, -02758, -08650
-06497, +00276, +11510, -00160, -03003, -09016
-06279, -00322, +11510, -00644, -02882, -09455
-05781, -00998, +11688, -00930, -02475, -10009
-05336, -01502, +12063, -01095, -01999, -10900
-04881, -01892, +12342, -01385, -01764, -11463
-04419, -02139, +12386, -01862, -01772, -11253
-04079, -02240, +12509, -02412, -02281, -10376
-03615, -02359, +12607, -02597, -02856, -09096
-02903, -02649, +12716, -02493, -02661, -08058
-02274, -02759, +12938, -02462, -02082, -07624
-01656, -02846, +13226, -02634, -01670, -07686
-00709, -03197, +13536, -02673, -01124, -07927
+00317, -03133, +13633, -02523, -00830, -08055
+01471, -02610, +13315, -02398, -01136, -07715
+02948, -02124, +12693, -02281, -01341, -06724
+04556, -01505, +12028, -02316, -01455, -05090
+06127, -01233, +11779, -02531, -01086, -03257
+07262, -01431, +12003, -03078, -00345, -01737
+07988, -01581, +12168, -03956, +00307, -00472
+08306, -01247, +12099, -04683, +01119, +00293
+08299, -01180, +12068, -05153, +02192, +00553
+08486, -01040, +11958, -05522, +03218, +00432
+08686, -00421, +11564, -05830, +03995, +00147
+08735, +00149, +11499, -06068, +04620, -00075
+08387, +00718, +11524, -06480, +05271, -00238
+07732, +00851, +11606, -07272, +05629, -00487
+06658, +00787, +11732, -08180, +05570, -00859
+05842, +00286, +11781, -08811, +05164, -01193
+05109, -00294, +11854, -09028, +04543, -01511
+04218, -00691, +11934, -09052, +03565, -01840
+03340, -01044, +11925, -09013, +02707, -02136
+02668, -01197, +11806, -08885, +02296, -02403
+02260, -01289, +11519, -08509, +02088, -02628
+01961, -01395, +11192, -08058, +02029, -02707
