+03232, -01058, +20213, +08079, -01381, +00170
+04038, -00533, +19956, -05147, -00123, +21850
+04540, -00178, +20052, -09689, -00102, +25041
+05010, +00593, +20084, -10895, -06653, +21443
+05578, +01175, +19823, -11630, -08260, +21861
+05906, +01681, +19461, -11996, -08843, +22489
+06032, +02251, +19079, -13118, -08977, +23282
+05944, +02842, +18780, -14810, -09322, +24217
+05835, +03371, +18212, -16128, -10827, +25126
+09626, -02717, +20188, -16182, -11301, +25758
+04463, -05525, +07580, -14943, -11269, +25781
+03746, -05436, +07815, -13384, -12071, +24867
+02788, -05077, +08443, -12334, -13724, +23368
+02222, -04740, +08897, -11850, -15078, +21442
+01804, -04389, +09155, -11317, -16024, +19019
+01104, -03433, +09459, -10855, -17061, +16470
-00581, -02474, +10845, -10484, -17691, +13953
-02717, -03112, +11871, -09893, -17812, +11354
-04034, -04503, +12493, -09070, -17377, +08725
-05223, -05299, +12949, -08458, -16166, +06134
-07072, -06077, +13526, -08256, -14285, +03224
-08889, -06916, +13951, -08254, -12236, -00087
-10355, -07223, +14414, -08236, -10187, -03532
-11661, -07306, +15366, -08002, -07979, -06963
-12907, -07648, +16421, -07545, -06106, -10443
-14204, -07991, +17554, -07045, -04474, -14014
-15247, -08093, +18553, -06582, -02219, -17759
-15962, -08321, +19432, -06483, +00049, -21344
-16269, -08569, +20141, -06722, +02591, -24820
-16153, -08652, +20476, -06823, +04995, -28456
-15861, -08796, +20900, -06796, +07205, -31858
-15373, -09037, +20920, -06871, +08943, -32768
-14567, -09083, +20748, -06755, +10270, -32768
-13797, -08928, +20613, -06216, +11849, -32768
-12772, -08250, +20206, -05596, +13047, -32768
-11462, -07458, +20020, -04970, +13811, -32768
-10126, -07122, +19777, -04469, +14944, -32768
-08555, -06689, +19521, -04336, +14195, -32768
-06516, -06280, +19092, -04608, +11626, -32768
-04345, -06182, +18647, -04574, +09396, -32768
-02563, -05620, +18255, -03670, +07673, -32768
-01346, -04439, +17808, -03360, +04833, -29295
+00130, -03126, +17218, -02866, +03390, -25114
+01830, -01605, +16653, -02546, +03321, -22798
+03269, +02277, +15155, -02678, +03267, -23092
+06467, +05804, +13903, -03937, +03402, -23781
+10343, +07114, +13247, -05944, +02952, -23615
+12986, +08328, +13144, -07929, +02867, -22333
+15259, +09140, +13457, -09781, +03348, -19710
+16644, +08568, +13748, -11381, +03197, -16595
+17491, +05096, +14633, -13255, +03877, -13540
+16784, +02855, +14544, -16276, +04987, -09573
+15186, +03576,+14534, -19541, +06164, -04929
+14060, +04226, +13668, -22015, +07659, -01005
+14176, +04697, +12846, -23572, +07933, +01976
+15057, +05617, +13008, -24283, +06978, +03552
+17156, +06233, +13302, -23652, +05872, +04413
+18873, +06735, +14345, -22211, +04404, +05750
+19028, +07633, +15635, -21146, +02165, +07934
+19697, +06965, +15599, -20811, +00410, +11280
