+01341, +01390, +14596, -01630, -02004, +01642
+01293, +01442, +14127, -00304, -02829, +01195
+01404, +01243, +13551, -02534, -02561, +00924
+01712, +00901, +13303, -03183, -06905, -04056
+02150, +00659, +13203, -04047, -06731, -05374
+02561, +00573, +13145, -04858, -06580, -06867
+02911, +00626, +13128, -05426, -06475, -07969
+03298, +00630, +13172, -05788, -06464, -08633
+03521, +00525, +13437, -05999, -06331, -09219
+00651, -01836, +21059, -06335, -06583, -09864
-03165, -02656, +12526, -07014, -07709, -10581
-03941, -03233, +12336, -07479, -09158, -11122
-04451, -03419, +12072, -07553, -10243, -11578
-04602, -03336, +12045, -07526, -10946, -12089
-04267, -03215, +12176, -07655, -11080, -12805
-03944, -02916, +12299, -07559, -10350, -13747
-03716, -02722, +12156, -07188, -08852, -14644
-03355, -02533, +11924, -06520, -07410, -15703
-02683, -02571, +12036, -05728, -06326, -16592
-01956, -02870, +12765, -04971, -05887, -17061
-01431, -03066, +13836, -04272, -06222, -17010
-00704, -03367, +15268, -03882, -06610, -16306
+00292, -03782, +17056, -04165, -06650, -14953
+01535, -04309, +18876, -04935, -06748, -12922
+03026, -04731, +20209, -05631, -06349, -10510
+04398, -04288, +20894, -05967, -05603, -08108
+06061, -03597, +20972, -06384, -04960, -05939
+08078, -02815, +20407, -06720, -04727, -03835
+10466, -01749, +19467, -06694, -04358, -01759
+13282, -00680, +18647, -06412, -04087, +00273
+15885, +00125, +18148, -06060, -03888, +02205
+17710, +00850, +17934, -05779, -03814, +04119
+18948, +01436, +17809, -05656, -03874, +05978
+19939, +01674, +17641, -05702, -03865, +07872
+20816, +01704, +17550, -05834, -03683, +09615
+21285, +01611, +17715, -06016, -03224, +11042
+21362, +01185, +17767, -06369, -02586, +12182
+21234, +00728, +17700, -06834, -02124, +12635
+20808, +00294, +17624, -07300, -01691, +13118
+19992, +00015, +17412, -07623, -01412, +13165
