+00499, -01726, +17263, -01721, +00766, -00300;
+00396, -01481, +17416, -01463, +00835, -00110;
+00226, -01239, +17555, -01340, +00847, -00118;
+00106, -01384, +17882, -01275, +00702, -00148;
+00148, -01576, +18125, -01334, +00435, -00351;
+00246, -01727, +18160, -01615, +00274, -00277;
+00471, -01749, +17931, -01794, +00256, -00182;
+00545, -01758, +18129, -01611, +00189, -00219;
+00416, -01798, +18626, -01413, +00140, -00276;
+00419, -01901, +18686, -01222, +00178, -00349;
+00362, -01929, +18689, -01044, +00181, -00400;
+00257, -01893, +18784, -00798, +00094, -00398;
+00327, -01980, +18779, -00784, +00065, -00381;
+00304, -01904, +18811, -00832, +00042, -00425;
+00407, -01760, +18672, -00723, +00231, -00408;
+00520, -01900, +18666, -00760, +00294, -00270;
+00612, -01876, +18904, -00652, +00208, -00121;
+00612, -01650, +18856, -00471, +00137, -00053;
+00801, -01578, +18935, -00366, +00136, +00063;
+00981, -01605, +18754, -00324, +00169, +00130;
+00990, -01544, +18739, -00264, +00124, +00082;
+00917, -01633, +18651, -00201, +00098, +00068;
+00923, -01753, +18505, -00357, +00147, +00097;
+00957, -01827, +18377, -00315, +00169, +00179;
+00823, -02003, +17483, -01635, -00215, +00396;
+00477, -01815, +17491, -01760, -00298, +00662;
-00047, -01576, +17648, -01732, -00679, +00750;
-00085, -01486, +17312, -01678, -01097, +00839;
-00047, -01431, +17035, -01797, -01164, +00754;
-00322, -01407, +17077, -01920, -01113, +00405;
-00552, -01632, +17385, -02103, -01136, +00156;
-00728, -01849, +17564, -02181, -01004, -00195;
-00805, -01860, +17842, -02108, -00888, -00614;
-00868, -01917, +18175, -02259, -00876, -00846;
-00907, -01983, +18181, -02404, -01006, -00827;
-01058, -01753, +18290, -02336, -01012, -00989;
-01110, -01558, +18548, -02410, -00827, -01074;
-01137, -01743, +18890, -02572, -00657, -01293;
-01528, -01914, +19314, -02416, -00587, -01676;
-01752, -02063, +19541, -02107, -00633, -02040;
-01748, -02171, +19612, -01649, -00613, -02582;
-01666, -02148, +19698, -01065, -00518, -03013;
-01692, -02304, +19905, -01225, -00527, -03106;
-01659, -01970, +20091, -01531, -00532, -03340;
-01950, -02368, +20527, -01153, -00612, -03640;
-01878, -02312, +20640, -00885, -00432, -03919;
-01602, -02109, +20576, -00277, -00418, -04228;
-01583, -02149, +20981, +00069, -00605, -04272;
-01143, -02021, +20738, +00034, -00719, -04193;
-00947, -01905, +20583, +00259, -00896, -04360;
-00869, -01779, +20575, +00504, -00976, -04421;
-00538, -01787, +20317, +00989, -01163, -04579;
-00576, -01749, +20547, +01372, -01504, -04814;
-00407, -01776, +20549, +01479, -01628, -04791;
-00227, -01866, +20474, +01758, -01673, -04732;
-00345, -01827, +20814, +02127, -01648, -04858;
-00293, -01737, +20829, +02472, -01548, -04503;
-00051, -01820, +20871, +02747, -01558, -04478;
-00348, -01672, +20953, +02902, -01600, -04494;
-00037, -01991, +20749, +03089, -01637, -04458;
+00048, -02033, +20539, +03201, -01766, -04380;
+00119, -01977, +20455, +03391, -01795, -04188;
+00270, -02007, +20379, +03582, -01754, -04114;
+00271, -02068, +20448, +03904, -01718, -04093;
+00334, -02182, +20531, +04009, -01717, -04064;
