+01096, -02479, +14753, -05955, -00715, +01280
+00991, -02405, +14595, -06982, -03005, +01568
+01096, -02292, +14503, -11461, -02742, +02006
+01211, -02168, +14989, -12449, -07613, -01796
+01319, -02053, +15612, -13164, -07477, -01882
+01355, -01949, +15566, -14257, -07179, -02247
+01226, -01820, +15206, -15308, -06798, -02785
+00976, -01680, +15215, -16104, -06479, -03291
+00720, -01488, +15644, -16607, -06330, -03801
-02524, +00893, +19871, -16838, -06290, -04360
-03382, +01841, +07911, -16751, -05985, -05062
-03686, +01775, +08742, -16475, -05592, -05810
-03911, +01669, +09633, -15921, -04920, -06617
-04025, +01658, +10753, -15189, -04300, -07417
-04112, +01606, +11872, -14278, -03481, -08205
-04224, +01687, +12939, -13192, -02609, -08808
-04518, +01870, +14179, -12196, -01316, -09168
-05054, +01803, +15789, -11197, +00025, -09412
-05480, +01591, +17497, -10472, +00889, -09753
-05488, +01647, +19485, -09536, +01718, -10234
-05313, +01686, +21480, -08160, +02520, -11014
-05068, +01757, +23257, -06585, +03168, -12206
-04963, +01682, +25103, -05109, +04003, -13294
-04741, +01411, +26802, -03792, +04874, -13931
-04354, +01046, +28091, -02733, +05339, -13817
-04174, +00815, +28852, -01912, +05537, -13214
-04453, +00454, +29799, -01261, +05595, -12481
-04571, -00166, +31035, -00467, +05642, -11337
-04567, -00653, +32084, +00598, +06214, -10108
-04994, -00534, +32706, +01913, +06659, -09040
-04980, -00204, +32760, +03173, +06782, -08367
-04442, +00210, +32760, +04289, +06620, -08278
-03771, +00618, +32615, +05451, +06284, -08777
-03413, +01227, +31935, +06675, +05892, -09480
-03698, +01860, +31325, +07911, +05377, -10078
-03779, +01833, +31114, +09089, +04570, -10410
-03725, +01865, +30665, +10299, +03467, -10453
-03918, +01983, +29983, +11424, +02698, -10240
-04086, +01870, +29105, +12324, +02588, -10239
-04276, +01501, +28051, +12988, +02575, -10372
