#Dados
#Formato: 
#AX AY AZ GX GY GZ

#1
+01749, -02541, +18070; -01279, +00362, +00280;
+01730, -02080, +17642; -01193, +00223, -00113;
+01584, -01820, +17816; -00761, -00009, -00406;
+01668, -01855, +17871; -00406, -00111, -00356;
+01700, -02051, +17986; -00001, -00068, -00319;
+01498, -02185, +18159; +00206, +00008, -00252;
+01175, -02281, +18353; +00186, +00001, -00203;
+00892, -02485, +18508; +00101, +00136, -00140;
+00798, -02675, +18558; -00047, +00356, -00216;
+00676, -02693, +18562; -00292, +00542, -00393;
+00518, -02653, +18686; -00505, +00497, -00533;
+00427, -02831, +18923; -00630, +00313, -00500;
+00449, -02887, +19122; -00847, +00081, -00495;
+00514, -02810, +19097; -01047, -00128, -00497;
+00547, -02952, +19328; -00902, -00415, -00601;
+00230, -03057, +19915; -00279, -00863, -00658;
-00195, -03391, +20279; +00087, -01230, -00713;
-00346, -03584, +20308; +00389, -01402, -00822;
-00427, -03635, +20382; +01044, -01443, -01265;
-00412, -03727, +20358; +01870, -01474, -01743;
-00357, -03570, +20150; +02661, -01593, -02143;
-00252, -03319, +20144; +03168, -01705, -02388;
-00167, -03484, +20403; +03340, -01835, -02312;
-00202, -03882, +20657; +03525, -01855, -02223;
-00429, -03962, +20700; +03668, -01724, -02251;
-00685, -04027, +20825; +04044, -01710, -02444;
-01081, -04621, +21097; +04521, -01939, -02667;
-01168, -05146, +21136; +04739, -02063, -03129;
-00930, -05101, +20882; +05055, -01847, -04001;
-00449, -04866, +20501; +05556, -01550, -04885;
-00020, -04607, +20093; +05888, -01566, -05344;
+00501, -04237, +19293; +06014, -01884, -05450;
+00875, -04377, +19086; +06279, -02398, -05404;
+00892, -04441, +19034; +06677, -02906, -05284;
+00928, -04540, +18878; +07141, -03155, -05153;
+00677, -04943, +19386; +07465, -03332, -05182;
+00397, -05223, +19534; +07470, -03757, -05140;
+00144, -05367, +19278; +07626, -04183, -05046;
+00145, -05986, +18979; +07680, -04408, -05088;
+00052, -06004, +18540; +07574, -04559, -05517;
-00072, -06064, +18576; +07477, -04684, -05803;
+00056, -06301, +18606; +07112, -04868, -05879;
+00298, -06146, +18306; +06881, -04964, -05860;
+00442, -05881, +17753; +06973, -04836, -05673;
+00578, -06039, +17479; +06965, -04715, -05358;
+00809, -06177, +17006; +06587, -04480, -05095;
+00882, -06171, +16824; +06851, -04417, -05130;
+00591, -06283, +17467; +07808, -04406, -05346;
+00875, -06311, +17320; +07179, -04584, -04629;
+01133, -06320, +16761; +06227, -04853, -04232;
+01212, -06434, +17082; +05933, -04849, -04047;
+00862, -06601, +17380; +05702, -04839, -03758;
+00363, -06821, +17299; +05376, -04730, -03328;
+00226, -07086, +17209; +04981, -04543, -03010;
+00221, -07182, +17069; +04671, -04396, -02736;
+00217, -07403, +17282; +04572, -04171, -02480;
+00189, -07557, +17307; +03909, -03649, -02167;
+00222, -07285, +16795; +03173, -03025, -01740;
+00224, -07468, +16991; +02643, -02591, -01351;
+00231, -07680, +17099; +01955, -02205, -01037;
+00265, -07647, +16916; +01654, -01805, -00948;
+00341, -07850, +17053; +01683, -01321, -01058;
+00649, -07644, +17127; +01328, -00879, -01110;
+00984, -07254, +17260; +01003, -00509, -01135;
+01221, -06955, +17261; +00805, -00341, -00860;
+01298, -06959, +17801; +00558, -00346, -00424;
+01315, -06822, +17989; +00115, -00329, +00231;
+01334, -06858, +17793; -00053, -00125, +00923;
+01270, -07236, +17783; -00366, -00040, +01353;
+01030, -07305, +17443; -00523, +00085, +01517;
+01026, -07460, +17665; -00484, +00173, +01431;
+01117, -07189, +17793; -00527, +00291, +01292;
+01297, -06858, +17840; -00498, +00383, +01376;
+01360, -06806, +17867; -00409, +00549, +01578;
+01377, -06426, +17409; -00548, +00736, +01921;
+01407, -06446, +17317; -00578, +00925, +02131;
+01449, -06194, +17187; -00772, +00957, +02522;
+01201, -06158, +17468; -00851, +01077, +02898;
+00678, -06519, +17558; -01212, +01646, +03429;
+00530, -06819, +17122; -01714, +02225, +03542;
+00608, -06843, +16623; -01772, +02230, +03417;
+00701, -07044, +16691; -01574, +01522, +02910;
+01177, -06520, +16738; -00805, +00723, +02158;
+01330, -05830, +16900; +00364, -00052, +01433;
+01302, -05635, +17451; +01231, -00722, +01267;
+01291, -05282, +17318; +01655, -01110, +01513;
+01395, -05315, +17221; +02291, -01327, +01666;
+01176, -05127, +17582; +02654, -01337, +01935;
+01310, -05249, +17727; +02759, -01108, +02303;
+01425, -05267, +17806; +02885, -00968, +02582;
+01579, -04938, +17306; +03247, -01037, +02870;
+01974, -04950, +16512; +04160, -01633, +03192;
+02357, -05073, +15676; +05476, -02974, +03282;
+02403, -04809, +15102; +07195, -04741, +03260;
+01725, -05407, +15819; +08759, -06067, +03159;
+00937, -06062, +16647; +08944, -05245, +02985;
+00921, -05981, +16557; +07590, -02995, +03054;
+01272, -05571, +15820; +06412, -00824, +03655;
+01388, -05653, +15275; +05538, +00675, +04444;
+01314, -05975, +14757; +04956, +01613, +05131;
+01153, -06269, +13949; +04753, +01994, +05520;
