dn = [+00940, +01107, +17199;
+00522, +01943, +17237;
+00711, +02089, +17355;
+00764, +02003, +17772;
+00783, +02011, +18133;
+00969, +01863, +18390;
+01020, +02151, +18798;
+01210, +02075, +18845;
+01238, +01984, +18591;
+01141, +01905, +18120;
+01149, +01986, +17960;
+01638, +01662, +17870;
+01966, +01939, +18115;
+02308, +02021, +18769;
+02809, +01974, +19043;
+03510, +02287, +19601;
+04137, +02530, +20076;
+04099, +02247, +20016;
+04127, +02267, +20184;
+04255, +02529, +20625;
+04266, +02634, +21148;
+04063, +02537, +21520;
+03854, +02484, +21404;
+03440, +02311, +21250;
+03128, +02285, +21041;
+02803, +02147, +20816;
+02514, +02043, +20898;
+02474, +02412, +21363;
+02779, +02443, +21472;
+03095, +02606, +21488;
+03090, +02710, +21327;
+02969, +02821, +21391;
+03088, +02918, +21297;
+02863, +02767, +21283;
+02402, +02617, +20984;
+02082, +02608, +21091;
+01899, +02766, +20994;
+01942, +02917, +20494;
+01953, +02985, +20393;
+02154, +03178, +20147;
+02229, +03454, +20413;
+01951, +03540, +20497;
+01569, +03463, +20031;
+01279, +03497, +19798;
+00891, +03470, +19739;
+00791, +03580, +19438;
+01010, +03809, +18993;
+01122, +03724, +19056;
+01246, +03733, +18894;
+01419, +03986, +19031;
+01610, +04206, +19255;
+01544, +04454, +19298;
+01393, +04443, +19157;
+01416, +04313, +18681;
+01443, +04282, +18414;
+01447, +04409, +18367;
+01666, +04426, +18244;
+01966, +04720, +18044;
+01751, +04770, +17806;
+01408, +04649, +17436;
+01137, +04685, +16837;
+01233, +05023, +17080;
+01563, +05218, +16981;
+01819, +05242, +16967;
+01915, +05559, +16473;
+01883, +05598, +16386;
+02137, +05867, +16059;
+02373, +05876, +15715;
+02534, +06243, +15733;
+02596, +06237, +15554;
+02581, +06155, +14893;
+02767, +06184, +14610;
+02692, +06271, +14583;
+02782, +06275, +14442;
+02909, +06447, +14054;
+02893, +06719, +14085;
+02951, +06760, +13946;
+03075, +06853, +13569;
+03075, +06661, +13050;
+03115, +06423, +12462;
+03497, +06428, +12703;
+03902, +06494, +12754;
+04295, +06684, +12678;
+04426, +06648, +12347;
+04662, +06764, +12271;
+04831, +06930, +12429;
+05019, +07143, +12362;
+05121, +07135, +12221;
+05055, +07069, +12130;
+04906, +06875, +11998;
+05142, +06974, +11857;
+05121, +06944, +11546;
+05081, +07075, +11251;
+05272, +07098, +10822;
+05481, +07128, +10596;
+05783, +07378, +10868;
+06005, +07283, +10964;
+06123, +07158, +10583;
+06231, +07144, +10401;
+06423, +06998, +10424;
+06284, +07188, +10811;
+05990, +06710, +10492;
+05846, +06538, +10391;
+05902, +06437, +10759;
+06058, +06099, +10568;
+06464, +05930, +10371;
+07195, +05933, +10324;
+07590, +05829, +10499;
+07840, +06029, +11117;
+07705, +05990, +11343;
+07705, +05864, +11212;
+06761, +05578, +10994;
+06043, +05334, +10679;
+05870, +05160, +10388;
+05930, +05073, +10563;
+06301, +05104, +11203;
+06623, +05095, +11562;
+06541, +04941, +11760;
+06118, +04785, +12002;
+05743, +04668, +12043;
+05463, +04633, +12251;
+05292, +04713, +12721;
+06029, +04885, +13551;
+06522, +04474, +13616;
+07324, +04363, +14402;
+08045, +04284, +15117;
+08609, +04236, +15683;
+08552, +04118, +16171;
+08128, +03877, +16278;
+07075, +03497, +15937;
+05925, +03037, +15956;
+05277, +02819, +16487;
+04993, +02758, +17566;
+05076, +02663, +18332;
+05413, +02624, +18945;
+05693, +02449, +19392;
+05827, +02327, +19014;
+05686, +02117, +18871;
+05537, +01831, +18949;
+05758, +01765, +19397;
+05276, +01639, +19534;
+04586, +01482, +19652;
+04028, +01350, +19957;
+03976, +01442, +20669;
+03798, +01342, +21694;
+03070, +01257, +22274;
+02813, +00777, +22769;
+02894, +00762, +22713;
+02786, +00800, +22594;
+02865, +00781, +22167;
+02721, +00716, +21812;
+02555, +00508, +21439;
+02485, +00601, +21437;
+02560, +00978, +22180;
+02578, +00702, +22847;
+01688, +00377, +23563;
+00710, +00529, +23241;
+00245, +00418, +22322;
-00037, +00588, +22130;
-00232, +00628, +21895;
-00303, +00788, +21626;
-00390, +00562, +21507;
-00590, +00717, +20989;
-00570, +01151, +21258;
-00919, +01068, +21584;
-01469, +01155, +21386;
-01822, +00923, +20913;
-02094, +00793, +20559;
-02174, +00802, +20346;
-02197, +00913, +20020;
-02282, +01131, +20097;
-02415, +00912, +19999;
-02358, +00817, +19808;
-02734, +00864, +19767;]
