+01597, -00948, +18216, -01069, +00111, +03041;
+01284, -01096, +18526, -01172, +00341, -00279;
-00255, +01976, +19259, +00806, +00597, -00871;
+03625, -03710, +18473, +00537, +00371, -00368;
+00904, -01995, +17963, -00778, +00008, +00068;
+00978, -00152, +18657, -00306, -00674, +00105;
+01805, -01186, +18009, +00861, -01343, -00541;
+02188, -00966, +17220, +00983, -01450, -00580;
+02360, -01154, +17131, +00892, -01343, -00447;
+01513, -01527, +17657, +01093, -01048, -00406;
+01284, -01268, +17643, +01106, -00864, -00353;
+01119, -01184, +17693, +00708, -00754, -00154;
+01168, -01240, +17736, +00417, -00437, -00041;
+01035, -01490, +18187, +00213, +00027, +00121;
+00886, -01513, +18309, -00190, +00413, +00366;
+00806, -01170, +18255, -00384, +00809, +00544;
+00847, -01097, +18389, -00361, +01261, +00482;
+00873, -01333, +18343, -00458, +00839, +00462;
+00777, -01394, +18073, -00054, +00510, +00195;
+00628, -01664, +18142, +00542, -00006, -00114;
+00873, -01740, +17734, +00848, -00229, +00131;
+01218, -01879, +17777, +00500, -00275, +00863;
+00967, -01339, +18056, +00015, -00079, +01646;
+00930, -00830, +18453, -00189, +00225, +02064;
+00951, -00782, +18713, -00328, +00424, +02195;
+01041, -00956, +18771, -00398, +00405, +02186;
+00895, -01236, +18785, -00369, +00229, +01958;
+00726, -01532, +18680, -00282, +00129, +01644;
+00577, -01781, +18609, -00236, +00234, +01247;
+00293, -01976, +18742, -00106, +00288, +00792;
+00037, -02002, +18782, +00055, +00131, +00566;
+00023, -02092, +18722, -00162, -00120, +00995;
+00035, -01890, +18544, -00523, -00098, +01588;
-00215, -01244, +18833, -00790, +00110, +01996;
-00483, -01140, +19194, -00927, +00498, +02290;
-00728, -01333, +19485, -00906, +00760, +02380;
-01083, -01488, +19620, -00724, +00889, +02336;
-01333, -01634, +19508, -00649, +01039, +02172;
-01598, -01883, +19146, -00595, +01293, +02004;
-01969, -02020, +18823, -00451, +01296, +01569;
-02488, -01985, +18500, -00264, +01025, +00833;
-02789, -02310, +17981, -00173, +00580, +00183;
-02771, -02417, +17456, +00002, +00061, -00272;
-02857, -02374, +17312, +00190, -00627, -00421;
-02805, -02144, +17286, +00310, -01213, -00524;
-02566, -01787, +17460, +00378, -01654, -00660;
-02268, -01563, +17539, +00095, -02062, -00702;
-01871, -01465, +17621, -00502, -02088, -00640;
-01440, -01333, +17788, -01184, -01919, -00746;
-01300, -01186, +18103, -01436, -01518, -00963;
-01060, -01285, +18560, -01541, -00925, -01393;
-01117, -01261, +19152, -01866, -00407, -02015;
-01098, -01513, +19511, -02269, +00114, -02403;
-00918, -01841, +19547, -02529, +00027, -02858;
-00653, -02012, +19485, -02558, -00272, -03059;
-00117, -02067, +19492, -02766, -00992, -02825;
+00521, -01900, +19037, -02868, -01854, -02474;
+00976, -01788, +19079, -02609, -02616, -02275;
+01206, -01674, +18890, -02243, -03075, -02023;
+01286, -01549, +18934, -02390, -03088, -02189;
+01295, -01894, +19403, -01373, -03160, -02425;
+00550, -02177, +19967, -00713, -02831, -02918;
+00622, -02265, +20173, -00691, -02576, -03270;
