+04040, +01193, +16382, +02448, -00215, -01551
+03957, +01183, +16254, +02090, +01758, +04538
+03926, +01178, +16096, +01278, +04080, +05553
+03972, +01176, +15916, +01021, -00352, +01048
+03995, +01105, +15733, +00724, -00277, -00180
+04108, +01005, +15412, +00335, -00040, -01917
+04059, +00942, +14985, +00012, +00199, -03599
+04009, +00990, +14721, -00288, +00105, -04676
+03935, +00956, +14598, -00541, -00065, -05247
-01732, +01967, +28398, -00696, -00407, -05503
-05114, +00818, +18584, -00725, -00819, -05474
-05270, +00127, +18139, -00755, -01006, -05293
-05238, -00486, +18059, -00704, -01268, -05343
-05184, -00705, +18118, -00725, -01591, -05633
-05131, -00594, +18165, -00747, -02129, -06176
-04895, -00439, +18098, -00597, -02572, -06903
-04558, -00195, +18133, -00134, -03013, -07688
-04171, +00282, +18242, +00424, -03403, -08465
-03644, +00278, +18451, +00804, -03907, -09196
-03140, -00079, +18431, +00919, -04411, -09898
