+07246, +00766, +16964, -06167, +02626, -03788
+06913, +00295, +16511, -01952, +05047, +09924
+06529, -00002, +16182, -04324, +08174, +11428
+06162, -00235, +15909, -04520, +03262, +07200
+05725, -00423, +15795, -04147, +02404, +06514
+05331, -00676, +15697, -03275, +01648, +05293
+04866, -00972, +15670, -02244, +01075, +03518
+04580, -01157, +15794, -01227, +00294, +01715
+04152, -01238, +15883, -00554, -00375, +00080
-08214, +00990, +18569, -00407, -00664, -01417
-07952, +00740, +18850, -00691, -00840, -02409
-07223, +00348, +18562, -01351, -01212, -02796
-06467, -00044, +18298, -02126, -01530, -02950
-06076, -00306, +17839, -02704, -01806, -03030
-05837, -00536, +17524, -02884, -02049, -03217
-05269, -00950, +17565, -02813, -02285, -03647
-04929, -01214, +17649, -02518, -02510, -04442
-04756, -01151, +17663, -02203, -02897, -05700
-04130, -00914, +17729, -02015, -03270, -07303
-03689, -00755, +17671, -01850, -03798, -08964
