+03292, +00849, +14376, -00042, -04266, -03941
+02745, +01559, +13387, -04989, +07747, +11206
+02093, +02005, +12602, -08957, +12139, +13211
+01583, +02163, +12141, -09278, +08154, +08766
+01375, +02195, +12440, -08871, +08703, +08232
+01428, +02019, +13343, -07941, +08911, +08476
+01515, +01544, +14247, -06728, +08496, +09193
+01727, +00775, +15292, -05687, +07867, +10385
+01671, -00100, +16517, -04844, +07170, +11759
+09196, -01293, +31477, -03930, +06700, +12781
+08202, -01088, +19772, -02967, +06744, +13762
+08276, -01261, +20630, -02079, +07069, +14282
+08436, -01188, +21491, -01161, +07277, +14596
+08619, -00633, +22034, +00009, +07346, +14856
+09153, -00112, +22358, +01428, +07189, +14987
+09308, +00015, +22597, +02933, +06824, +15049
+08850, +00220, +23138, +04446, +06426, +14894
+08109, +00493, +23867, +05937, +06131, +14324
+07365, +00503, +24889, +07424, +06037, +13318
+06291, +00258, +25822, +08841, +06058, +12279
+04887, +00156, +26419, +09979, +05856, +10782
+03400, +00166, +26556, +10893, +05254, +09535
+02044, +00139, +26519, +11664, +04446, +08166
+00686, -00104, +26398, +12390, +04102, +07146
-00641, -00452, +26153, +12893, +04104, +06288
-02033, -00596, +25715, +13110, +04434, +05307
-03276, -00496, +25025, +13054, +04933, +04549
-04381, -00369, +24293, +12843, +05315, +03896
-04956, -00137, +23265, +12536, +05349, +03210
-05262, -00069, +22080, +12225, +04811, +02448
-05299, +00188, +20892, +12113, +04371, +01912
-05285, +00194, +19882, +12198, +03762, +01408
-05180, -00050, +19050, +12451, +03105, +00847
-05248, -00215, +18405, +12937, +02623, +00121
-04956, -00489, +17672, +13361, +02299, -01012
-04346, -00756, +17018, +13596, +02002, -02405
-03821, -00793, +16355, +13629, +01682, -03900
-03247, -01108, +16020, +13467, +01378, -05223
-03257, -01466, +15895, +13207, +01055, -06223
-03519, -01711, +15776, +12834, +00831, -06920
-03708, -01862, +15634, +12234, +00611, -07502
-03815, -02184, +15511, +11539, +00233, -07998
-03929, -02483, +15453, +10633, -00360, -08446
-03959, -02691, +15071, +09655, -01216, -08826
-03795, -02615, +14390, +08829, -02156, -09148
-03525, -02294, +13606, +08034, -02992, -09250
-02996, -01878, +12794, +07230, -03884, -09264
-02405, -01579, +11986, +06366, -04786, -09503
-01955, -01378, +11172, +05526, -05624, -09922
-01492, -01179, +10210, +04801, -06487, -10406
-00938, -00933, +09185, +04035, -07494, -10832
-00400, -00871, +08303, +03397, -08567, -11230
+00166, -00721, +07619, +02860, -09274, -11285
+00817, -00608, +07068, +02389, -09691, -10869
+01449, -00657, +06551, +01522, -09691, -11441
+02111, -00750, +06136, +00567, -10030, -12982
+02774, -01065, +05664, -00920, -09316, -13266
+03241, -01153, +05217, -02719, -08781, -13107
+03705, -01180, +04731, -04343, -08293, -12921
+04169, -01303, +04393, -05783, -07948, -12640
+04650, -01495, +04200, -07071, -07755, -12177
+05025, -00806, +04358, -08263, -07680, -11399
+05596, -01082, +04367, -09199, -07605, -10350
+07644, -01117, +04025, -09883, -07246, -09075
+07984, -01282, +03637, -10432, -06633, -07854
+08288, -00241, +03343, -11034, -05833, -06776
+09164, +00505, +03121, -11898, -04995, -05654
+10284, +00840, +03162, -13071, -04283, -04631
+11156, +01105, +03444, -14224, -03834, -03808
+11506, +01392, +03958, -14920, -03185, -03357
+11661, +01649, +04687, -15280, -02430, -03273
+11789, +01361, +05536, -15568, -01882, -03539
+12002, +01174, +06360, -15805, -01653, -03994
+12233, +00653, +07270, -15854, -01702, -04412
+12426, -00077, +08236, -15629, -02159, -04589
+12296, -00853, +09048, -15032, -02804, -04129
+12043, -01581, +09950, -14143, -03401, -02674
+11630, -02248, +11036, -12963, -03702, -00627
+11377, -02867, +12212, -12005, -03586, +01542
+11364, -03236, +13218, -10807, -03162, +03561
