+01987, -03306, +13486, +03514, -00313, -04253
+02077, -03191, +13243, +02783, +00187, -03758
+02288, -02961, +13334, +01528, +00493, -03346
+02541, -02576, +12757, +01150, +00400, -03331
+02410, -02842, +12531, +01302, +00029, -03019
+02136, -03176, +12670, +01260, -00340, -02755
+02082, -03245, +12595, +01391, -00653, -02224
+01995, -03254, +12769, +01247, -00752, -01483
+02115, -03235, +12887, +00781, -00379, -00432
+02342, -03006, +12801, +00202, +00551, +00560
+02312, -02979, +12986, -00753, +01715, +01528
+02390, -03058, +13216, -01627, +02831, +01682
+01913, -03120, +13275, -01737, +03647, +01715
+01077, -03724, +13722, -01366, +04211, +01896
+00697, -04583, +14143, -01312, +03955, +00895
-00102, -04039, +14001, -00823, +02956, +00152
-00385, -05212, +14660, -00419, +01882, +00010
-00226, -06393, +13972, -00503, +00846, +00139
+00082, -05479, +14026, -01355, +00003, -00033
+00550, -05501, +14291, -01844, -00857, -00446
+00524, -05966, +14655, -03274, -01134, +00214
+00769, -06178, +13888, -03544, -00043, +00838
+01158, -05901, +14434, -02940, +01038, +01503
+00118, -05964, +17033, -02058, +01505, +01433
-00159, -04371, +15146, -03969, +01026, -01248
-00233, -04209, +15165, -04310, +01138, -01283
-00179, -03788, +15178, -04473, +00904, -01011
-00189, -03381, +15027, -04824, +00522, -01095
+00058, -02679, +15021, -04906, +00257, -01246
+00289, -03009, +15112, -04989, +00094, -01353
+00100, -02594, +15206, -04973, -00112, -01527
-00085, -02361, +15198, -05090, -00320, -01522
+00110, -02413, +15033, -05211, -00247, -01415
+00318, -02586, +15161, -05617, -00037, -01328
+00240, -02538, +15293, -06184, +00349, -01315
+00085, -02552, +15601, -06744, +00751, -01363
-00325, -02700, +15898, -07092, +01297, -01653
-00950, -02725, +16235, -07169, +01632, -02159
-01497, -02630, +16696, -07029, +01323, -02666
-01723, -02743, +17107, -06776, +00645, -02990
-01402, -02578, +17230, -06431, -00077, -03383
-00702, -02713, +17355, -06106, -00564, -03621
-00213, -02982, +17681, -06052, -00877, -03583
+00201, -02908, +17955, -06256, -00815, -03108
+00516, -02495, +18118, -06703, -00885, -02879
+00698, -02448, +18446, -06807, -00412, -02372
+00766, -02172, +18704, -07816, +00343, -02204
+00348, -01526, +19734, -07085, +00414, -02606
-00182, -02558, +19904, -06523, +00277, -02868
-00139, -02236, +20131, -05972, -00034, -03119
-00048, -02468, +20766, -05520, -00064, -03500
+00169, -02585, +20832, -05669, +00131, -03648
+00466, -02597, +20947, -05523, +00009, -03639
+00670, -02494, +20925, -05588, -00376, -03541
+01029, -02112, +20524, -05056, -00986, -02996
+01595, -01749, +20214, -04867, -01320, -02668
+01987, -01692, +20363, -04831, -01232, -02085
+02114, -01421, +20680, -04785, -00632, -01866
+01669, -01752, +20757, -04881, +00019, -02092
+00991, -02165, +21064, -04819, +00202, -02367
+00587, -02701, +21182, -03518, -00005, -02457
+00556, -02773, +21125, -00088, -00779, -03591
+00375, -03132, +21061, -02089, -00707, -03252
+01533, -01908, +22407, -01810, -00706, -03413
+01408, -03448, +22780, -02191, -00704, -03026
+01210, -01740, +21835, -01163, -01025, -02761
+01762, -02253, +22045, -00850, -01063, -02443
